Lab,Method,Subject,Subject_Unique,Language,language_recoded,Native,Age_session_1,Age_session_2,total_trial_n_session_1,total_trial_n_session_2,N_below_threshold_lt_session_1,N_below_threshold_lt_session_2,IDS_session_1,IDS_session_2,ADS_session_1,ADS_session_2,Diff_1,Diff_2,Prop_session_1,Prop_session_2,binary_pref_session_1,binary_pref_session_2,mean_log_lt_IDS_session_1,mean_log_lt_IDS_session_2,mean_log_lt_ADS_session_1,mean_log_lt_ADS_session_2,Diff_log_lt_session_1,Diff_log_lt_session_2,Prop_log_lt_session_1,Prop_log_lt_session_2,days_between_sessions,Age
InfantCog-UBC,central fixation,AD42,InfantCog-UBC:AD42,English,American English,TRUE,158,169,16,16,0,0,10.0975,6.425,8.3925,5.69625,1.705,0.7287499999999998,0.5461060032449973,0.5300608435598638,IDS_preference,IDS_preference,2.2251924977647355,1.680214076071282,2.006992508150671,1.6208357250115812,0.21819998961406428,0.059378351059700796,0.5257786449917812,0.5089938587173424,11,163.5
InfantCog-UBC,central fixation,ML23,InfantCog-UBC:ML23,English,American English,TRUE,135,184,15,15,0,1,8.7825,10.76142857142857,8.75,8.05875,0.03250000000000064,2.702678571428571,0.5009268501354628,0.5718026813925023,IDS_preference,IDS_preference,2.0492019994672437,2.2077183776013554,2.069641218660406,1.953234265251518,-0.020439219193162383,0.25448411234983737,0.4975188155859871,0.5305800298865401,49,159.5
InfantCog-UBC,central fixation,OS32,InfantCog-UBC:OS32,English,American English,TRUE,104,112,14,13,0,1,9.125714285714286,7.101666666666667,11.28,7.6085714285714285,-2.154285714285713,-0.506904761904762,0.4472136656398768,0.48277034135603647,ADS_preference,ADS_preference,2.0472503676247302,1.801008117602389,2.348846192812279,1.9370113184127622,-0.3015958251875488,-0.1360032008103731,0.4656973156707041,0.48180812016384844,8,108
InfantCog-UBC,central fixation,PH39,InfantCog-UBC:PH39,English,American English,TRUE,116,159,16,14,0,0,7.1775,10.98,6.26,13.167142857142856,0.9175000000000004,-2.187142857142856,0.5341395348837209,0.4547121812695971,IDS_preference,ADS_preference,1.85579396091501,2.2976513904196727,1.7085927103564678,2.4942047181642417,0.14720125055854227,-0.19655332774456902,0.5206488891546148,0.4794908983814777,43,137.5
InfantCog-UBC,central fixation,VM20,InfantCog-UBC:VM20,English,American English,TRUE,108,113,12,16,4,0,8.608333333333334,8.5825,6.1033333333333335,10.2,2.505000000000001,-1.6174999999999997,0.5851365129715645,0.45694130174364433,IDS_preference,ADS_preference,2.078181319515309,2.020408042545804,1.5918544473596232,2.251763500751688,0.48632687215568593,-0.2313554582058841,0.5662564213331629,0.4729229671770961,5,110.5
babylab-potsdam,HPP,b7027,babylab-potsdam:b7027,German,German,FALSE,251,260,14,13,2,3,7.712285714285715,9.311285714285715,8.882714285714286,6.345000000000001,-1.1704285714285714,2.966285714285714,0.4647355055309259,0.5947314634012811,ADS_preference,IDS_preference,1.769449230593033,2.127938677211023,2.0301167299780323,1.6029670062444594,-0.26066749938499933,0.5249716709665637,0.4656977267811635,0.5703544548572381,9,255.5
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,German,FALSE,218,239,16,16,0,0,8.775125,3.552625,6.153625,3.593875,2.6214999999999993,-0.04125000000000023,0.5878003851628569,0.4971139718743441,IDS_preference,ADS_preference,2.1442669477395024,1.2405228629476872,1.7261817691748778,1.2488995113807673,0.4180851785646247,-0.008376648433080058,0.5540099106258063,0.4983175517904349,21,228.5
babylab-potsdam,HPP,b7096,babylab-potsdam:b7096,German,German,FALSE,216,223,15,14,1,2,7.8895,5.442142857142857,4.984714285714285,6.647571428571428,2.9047857142857145,-1.2054285714285715,0.6128140968380873,0.45014652360920737,IDS_preference,ADS_preference,1.858101431531208,1.4807631603942195,1.5319373406049281,1.686149878440336,0.32616409092627996,-0.2053867180461164,0.5481062478705453,0.46757304107698205,7,219.5
babylab-potsdam,HPP,b7105,babylab-potsdam:b7105,German,German,FALSE,197,204,16,14,0,2,10.837375,5.659,11.067875,7.6852857142857145,-0.23050000000000104,-2.0262857142857147,0.4947387041919174,0.42407665132212824,ADS_preference,ADS_preference,2.2362103963616518,1.6152072406787312,2.298322770212539,1.8021121974716847,-0.06211237385088708,-0.1869049567929535,0.49315118320131146,0.4726532798329626,7,200.5
babylab-potsdam,HPP,b7135,babylab-potsdam:b7135,German,German,FALSE,257,266,16,15,0,1,11.575,4.53175,9.616125,5.801857142857143,1.958874999999999,-1.2701071428571433,0.5462192309280418,0.4385448311853487,IDS_preference,ADS_preference,2.3254487385336966,1.3900365494615197,2.1548532262393443,1.5882686722177908,0.17059551229435233,-0.1982321227562711,0.5190383944693552,0.46672065016820236,9,261.5
babylab-potsdam,HPP,b7139,babylab-potsdam:b7139,German,German,FALSE,206,213,16,13,0,3,9.99,9.621142857142857,12.024625,5.095,-2.034625,4.526142857142857,0.453789242378646,0.653781561550484,ADS_preference,IDS_preference,2.191627391255139,2.157162642530067,2.430194516536,1.4949558483169443,-0.238567125280861,0.6622067942131227,0.47419122479830933,0.5906606392800171,7,209.5
